 Welcome to HYDRUS                                                       
 
 Program HYDRUS2
 Date:   6. 2.2018    Time:  15: 0:30
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = min  , M = mmol 
 

 Boundary length [L] associated with different types of boundary conditions

 Variable head or flux 1 boundary: 0.6916703E+01
 Atmospheric boundary:             0.6422225E+02
 Free or deep drainage boundary:   0.7000001E+02


 Time:           15.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

   11     11     55.3   -125.0   -6 -0.10257E+00  0.27840E-01      -8.15  0.259     20.00
   12     12     51.6   -125.0   -6 -0.10732E+00  0.29130E-01      -8.07  0.261     20.00
   13     13     47.9   -125.0   -6 -0.11172E+00  0.30324E-01      -8.00  0.263     20.00
   14     14     44.2   -125.0   -6 -0.11530E+00  0.31295E-01      -7.94  0.265     20.00
   15     15     40.5   -125.0   -6 -0.11775E+00  0.31961E-01      -7.90  0.266     20.00
   16     16     36.8   -125.0   -6 -0.11907E+00  0.32318E-01      -7.87  0.267     20.00
   17     17     33.2   -125.0   -6 -0.11918E+00  0.32349E-01      -7.88  0.267     20.00
   18     18     29.5   -125.0   -6 -0.11782E+00  0.31981E-01      -7.89  0.266     20.00
   19     19     25.8   -125.0   -6 -0.11531E+00  0.31297E-01      -7.94  0.265     20.00
   20     20     22.1   -125.0   -6 -0.11169E+00  0.30315E-01      -8.00  0.263     20.00
   21     21     18.4   -125.0   -6 -0.10727E+00  0.29115E-01      -8.07  0.261     20.00
   22     22     14.7   -125.0   -6 -0.10256E+00  0.27839E-01      -8.15  0.259     20.00
   23     23     11.1   -125.0   -6 -0.97958E-01  0.26589E-01      -8.23  0.257     20.00
   24     24      7.4   -125.0   -6 -0.93912E-01  0.25490E-01      -8.29  0.255     20.00
   25     25      3.7   -125.0   -6 -0.91366E-01  0.24799E-01      -8.33  0.254     20.00
   26     94     36.0     -0.1   -3  0.00000E+00  0.00000E+00     -18.38  0.117     20.00
   27     95     36.0     -0.3   -3  0.00000E+00  0.00000E+00     -18.26  0.117     20.00
   28     96     35.9     -0.4   -3  0.00000E+00  0.00000E+00     -18.14  0.118     20.00
   29     97     35.8     -0.5   -3  0.00000E+00  0.00000E+00     -18.04  0.118     20.00
   30     98     35.8     -0.7   -3  0.00000E+00  0.00000E+00     -17.96  0.119     20.00
   31     99     35.7     -0.8   -3  0.00000E+00  0.00000E+00     -17.89  0.119     20.00
   32    100     35.5     -0.8   -3  0.00000E+00  0.00000E+00     -17.83  0.120     20.00
   33    101     35.4     -0.9   -3  0.00000E+00  0.00000E+00     -17.79  0.120     20.00
   34    102     35.3     -1.0   -3  0.00000E+00  0.00000E+00     -17.76  0.120     20.00
   35    103     35.1     -1.0   -3  0.00000E+00  0.00000E+00     -17.74  0.120     20.00
   36    104     34.9     -1.0   -3  0.00000E+00  0.00000E+00     -17.74  0.120     20.00
   37    105     34.7     -1.0   -3  0.00000E+00  0.00000E+00     -17.76  0.120     20.00
   38    106     34.6     -0.9   -3  0.00000E+00  0.00000E+00     -17.79  0.120     20.00
   39    107     34.5     -0.8   -3  0.00000E+00  0.00000E+00     -17.83  0.120     20.00
   40    108     34.3     -0.8   -3  0.00000E+00  0.00000E+00     -17.89  0.119     20.00
   41    109     34.2     -0.7   -3  0.00000E+00  0.00000E+00     -17.96  0.119     20.00
   42    110     34.2     -0.5   -3  0.00000E+00  0.00000E+00     -18.05  0.118     20.00
   43    111     34.1     -0.4   -3  0.00000E+00  0.00000E+00     -18.15  0.118     20.00
   44    112     34.0     -0.3   -3  0.00000E+00  0.00000E+00     -18.26  0.117     20.00
   45    113     34.0     -0.1   -3  0.00000E+00  0.00000E+00     -18.39  0.117     20.00
   46    114     39.8      0.0   -4  0.00000E+00  0.00000E+00     -18.50  0.116     20.00
   47    115     43.6      0.0   -4  0.00000E+00  0.00000E+00     -18.62  0.115     20.00
   48    116     47.3      0.0   -4  0.00000E+00  0.00000E+00     -18.82  0.114     20.00
   49    117     51.1      0.0   -4  0.00000E+00  0.00000E+00     -19.17  0.112     20.00
   50    118     54.9      0.0   -4  0.00000E+00  0.00000E+00     -19.65  0.110     20.00
   51    119     58.7      0.0   -4  0.00000E+00  0.00000E+00     -20.27  0.107     20.00
   52    120     62.4      0.0   -4  0.00000E+00  0.00000E+00     -20.69  0.105     20.00
   53    121     66.2      0.0   -4  0.00000E+00  0.00000E+00     -20.99  0.103     20.00
   54    122      3.8      0.0   -4  0.00000E+00  0.00000E+00     -21.00  0.103     20.00
   55    123      7.6      0.0   -4  0.00000E+00  0.00000E+00     -20.70  0.105     20.00
   56    124     11.3      0.0   -4  0.00000E+00  0.00000E+00     -20.25  0.107     20.00
   57    125     15.1      0.0   -4  0.00000E+00  0.00000E+00     -19.65  0.110     20.00
   58    126     18.9      0.0   -4  0.00000E+00  0.00000E+00     -19.18  0.112     20.00
   59    127     22.7      0.0   -4  0.00000E+00  0.00000E+00     -18.83  0.114     20.00
   60    128     26.4      0.0   -4  0.00000E+00  0.00000E+00     -18.59  0.115     20.00
   61    129     30.2      0.0   -4  0.00000E+00  0.00000E+00     -18.50  0.116     20.00


 Time:          720.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

    1      1     70.0   -125.0   -6 -0.16796E-01  0.91176E-02     -10.33  0.208     20.00
    2      2      0.0   -125.0   -6 -0.16796E-01  0.91176E-02     -10.33  0.208     20.00
    3      3      0.0      0.0   -4  0.00000E+00  0.00000E+00     -23.79  0.093     20.00
    4      4     70.0      0.0   -4  0.00000E+00  0.00000E+00     -23.80  0.093     20.00
    5      5     36.0      0.0   -3  0.00000E+00  0.00000E+00     -22.82  0.096     20.00
    6      6     35.0     -1.0   -3  0.00000E+00  0.00000E+00     -22.00  0.099     20.00
    7      7     34.0      0.0   -3  0.00000E+00  0.00000E+00     -22.81  0.096     20.00
    8      8     66.3   -125.0   -6 -0.33590E-01  0.91174E-02     -10.33  0.208     20.00
    9      9     62.6   -125.0   -6 -0.33647E-01  0.91328E-02     -10.33  0.208     20.00
   10     10     58.9   -125.0   -6 -0.33692E-01  0.91450E-02     -10.32  0.208     20.00
   11     11     55.3   -125.0   -6 -0.33765E-01  0.91649E-02     -10.32  0.208     20.00
   12     12     51.6   -125.0   -6 -0.33836E-01  0.91839E-02     -10.31  0.208     20.00
   13     13     47.9   -125.0   -6 -0.33905E-01  0.92027E-02     -10.30  0.208     20.00
   14     14     44.2   -125.0   -6 -0.33969E-01  0.92202E-02     -10.30  0.208     20.00
   15     15     40.5   -125.0   -6 -0.34018E-01  0.92335E-02     -10.29  0.209     20.00
   16     16     36.8   -125.0   -6 -0.34049E-01  0.92418E-02     -10.29  0.209     20.00
   17     17     33.2   -125.0   -6 -0.34022E-01  0.92346E-02     -10.29  0.209     20.00
   18     18     29.5   -125.0   -6 -0.34016E-01  0.92330E-02     -10.29  0.209     20.00
   19     19     25.8   -125.0   -6 -0.33965E-01  0.92191E-02     -10.30  0.208     20.00
   20     20     22.1   -125.0   -6 -0.33900E-01  0.92014E-02     -10.30  0.208     20.00
   21     21     18.4   -125.0   -6 -0.33835E-01  0.91838E-02     -10.31  0.208     20.00
   22     22     14.7   -125.0   -6 -0.33761E-01  0.91638E-02     -10.32  0.208     20.00
   23     23     11.1   -125.0   -6 -0.33690E-01  0.91444E-02     -10.32  0.208     20.00
   24     24      7.4   -125.0   -6 -0.33647E-01  0.91326E-02     -10.33  0.208     20.00
   25     25      3.7   -125.0   -6 -0.33591E-01  0.91175E-02     -10.33  0.208     20.00
   26     94     36.0     -0.1   -3  0.00000E+00  0.00000E+00     -22.69  0.096     20.00
   27     95     36.0     -0.3   -3  0.00000E+00  0.00000E+00     -22.56  0.097     20.00
   28     96     35.9     -0.4   -3  0.00000E+00  0.00000E+00     -22.44  0.097     20.00
   29     97     35.8     -0.5   -3  0.00000E+00  0.00000E+00     -22.34  0.098     20.00
   30     98     35.8     -0.7   -3  0.00000E+00  0.00000E+00     -22.25  0.098     20.00
   31     99     35.7     -0.8   -3  0.00000E+00  0.00000E+00     -22.17  0.098     20.00
   32    100     35.5     -0.8   -3  0.00000E+00  0.00000E+00     -22.11  0.098     20.00
   33    101     35.4     -0.9   -3  0.00000E+00  0.00000E+00     -22.06  0.098     20.00
   34    102     35.3     -1.0   -3  0.00000E+00  0.00000E+00     -22.03  0.099     20.00
   35    103     35.1     -1.0   -3  0.00000E+00  0.00000E+00     -22.01  0.099     20.00
   36    104     34.9     -1.0   -3  0.00000E+00  0.00000E+00     -22.01  0.099     20.00
   37    105     34.7     -1.0   -3  0.00000E+00  0.00000E+00     -22.03  0.099     20.00
   38    106     34.6     -0.9   -3  0.00000E+00  0.00000E+00     -22.06  0.098     20.00
   39    107     34.5     -0.8   -3  0.00000E+00  0.00000E+00     -22.11  0.098     20.00
   40    108     34.3     -0.8   -3  0.00000E+00  0.00000E+00     -22.17  0.098     20.00
   41    109     34.2     -0.7   -3  0.00000E+00  0.00000E+00     -22.25  0.098     20.00
   42    110     34.2     -0.5   -3  0.00000E+00  0.00000E+00     -22.34  0.098     20.00
   43    111     34.1     -0.4   -3  0.00000E+00  0.00000E+00     -22.44  0.097     20.00
   44    112     34.0     -0.3   -3  0.00000E+00  0.00000E+00     -22.56  0.097     20.00
   45    113     34.0     -0.1   -3  0.00000E+00  0.00000E+00     -22.68  0.096     20.00
   46    114     39.8      0.0   -4  0.00000E+00  0.00000E+00     -22.75  0.096     20.00
   47    115     43.6      0.0   -4  0.00000E+00  0.00000E+00     -22.81  0.096     20.00
   48    116     47.3      0.0   -4  0.00000E+00  0.00000E+00     -22.88  0.096     20.00
   49    117     51.1      0.0   -4  0.00000E+00  0.00000E+00     -23.03  0.095     20.00
   50    118     54.9      0.0   -4  0.00000E+00  0.00000E+00     -23.21  0.095     20.00
   51    119     58.7      0.0   -4  0.00000E+00  0.00000E+00     -23.45  0.094     20.00
   52    120     62.4      0.0   -4  0.00000E+00  0.00000E+00     -23.62  0.093     20.00
   53    121     66.2      0.0   -4  0.00000E+00  0.00000E+00     -23.78  0.093     20.00
   54    122      3.8      0.0   -4  0.00000E+00  0.00000E+00     -23.78  0.093     20.00
   55    123      7.6      0.0   -4  0.00000E+00  0.00000E+00     -23.62  0.093     20.00
   56    124     11.3      0.0   -4  0.00000E+00  0.00000E+00     -23.44  0.094     20.00
   57    125     15.1      0.0   -4  0.00000E+00  0.00000E+00     -23.21  0.095     20.00
   58    126     18.9      0.0   -4  0.00000E+00  0.00000E+00     -23.04  0.095     20.00
   59    127     22.7      0.0   -4  0.00000E+00  0.00000E+00     -22.90  0.096     20.00
   60    128     26.4      0.0   -4  0.00000E+00  0.00000E+00     -22.78  0.096     20.00
   61    129     30.2      0.0   -4  0.00000E+00  0.00000E+00     -22.76  0.096     20.00


 Time:         1440.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

    1      1     70.0   -125.0   -6 -0.61660E-02  0.33473E-02     -12.68  0.170     20.00
    2      2      0.0   -125.0   -6 -0.61660E-02  0.33473E-02     -12.68  0.170     20.00
    3      3      0.0      0.0   -4  0.00000E+00  0.00000E+00     -27.06  0.084     20.00
    4      4     70.0      0.0   -4  0.00000E+00  0.00000E+00     -27.06  0.084     20.00
    5      5     36.0      0.0   -3  0.00000E+00  0.00000E+00     -26.65  0.084     20.00
    6      6     35.0     -1.0   -3  0.00000E+00  0.00000E+00     -25.82  0.086     20.00
    7      7     34.0      0.0   -3  0.00000E+00  0.00000E+00     -26.65  0.084     20.00
    8      8     66.3   -125.0   -6 -0.12328E-01  0.33462E-02     -12.68  0.170     20.00
    9      9     62.6   -125.0   -6 -0.12344E-01  0.33504E-02     -12.67  0.170     20.00
   10     10     58.9   -125.0   -6 -0.12351E-01  0.33523E-02     -12.67  0.170     20.00
   11     11     55.3   -125.0   -6 -0.12369E-01  0.33572E-02     -12.67  0.170     20.00
   12     12     51.6   -125.0   -6 -0.12386E-01  0.33618E-02     -12.66  0.170     20.00
   13     13     47.9   -125.0   -6 -0.12402E-01  0.33661E-02     -12.66  0.170     20.00
   14     14     44.2   -125.0   -6 -0.12415E-01  0.33699E-02     -12.65  0.170     20.00
   15     15     40.5   -125.0   -6 -0.12425E-01  0.33726E-02     -12.65  0.170     20.00
   16     16     36.8   -125.0   -6 -0.12437E-01  0.33757E-02     -12.65  0.170     20.00
   17     17     33.2   -125.0   -6 -0.12427E-01  0.33732E-02     -12.65  0.170     20.00
   18     18     29.5   -125.0   -6 -0.12429E-01  0.33736E-02     -12.65  0.170     20.00
   19     19     25.8   -125.0   -6 -0.12415E-01  0.33698E-02     -12.65  0.170     20.00
   20     20     22.1   -125.0   -6 -0.12400E-01  0.33657E-02     -12.66  0.170     20.00
   21     21     18.4   -125.0   -6 -0.12385E-01  0.33618E-02     -12.66  0.170     20.00
   22     22     14.7   -125.0   -6 -0.12367E-01  0.33568E-02     -12.67  0.170     20.00
   23     23     11.1   -125.0   -6 -0.12350E-01  0.33522E-02     -12.67  0.170     20.00
   24     24      7.4   -125.0   -6 -0.12344E-01  0.33504E-02     -12.67  0.170     20.00
   25     25      3.7   -125.0   -6 -0.12328E-01  0.33463E-02     -12.68  0.170     20.00
   26     94     36.0     -0.1   -3  0.00000E+00  0.00000E+00     -26.52  0.085     20.00
   27     95     36.0     -0.3   -3  0.00000E+00  0.00000E+00     -26.39  0.085     20.00
   28     96     35.9     -0.4   -3  0.00000E+00  0.00000E+00     -26.27  0.085     20.00
   29     97     35.8     -0.5   -3  0.00000E+00  0.00000E+00     -26.17  0.085     20.00
   30     98     35.8     -0.7   -3  0.00000E+00  0.00000E+00     -26.08  0.086     20.00
   31     99     35.7     -0.8   -3  0.00000E+00  0.00000E+00     -26.00  0.086     20.00
   32    100     35.5     -0.8   -3  0.00000E+00  0.00000E+00     -25.93  0.086     20.00
   33    101     35.4     -0.9   -3  0.00000E+00  0.00000E+00     -25.88  0.086     20.00
   34    102     35.3     -1.0   -3  0.00000E+00  0.00000E+00     -25.85  0.086     20.00
   35    103     35.1     -1.0   -3  0.00000E+00  0.00000E+00     -25.83  0.086     20.00
   36    104     34.9     -1.0   -3  0.00000E+00  0.00000E+00     -25.83  0.086     20.00
   37    105     34.7     -1.0   -3  0.00000E+00  0.00000E+00     -25.85  0.086     20.00
   38    106     34.6     -0.9   -3  0.00000E+00  0.00000E+00     -25.89  0.086     20.00
   39    107     34.5     -0.8   -3  0.00000E+00  0.00000E+00     -25.93  0.086     20.00
   40    108     34.3     -0.8   -3  0.00000E+00  0.00000E+00     -26.00  0.086     20.00
   41    109     34.2     -0.7   -3  0.00000E+00  0.00000E+00     -26.08  0.086     20.00
   42    110     34.2     -0.5   -3  0.00000E+00  0.00000E+00     -26.17  0.085     20.00
   43    111     34.1     -0.4   -3  0.00000E+00  0.00000E+00     -26.28  0.085     20.00
   44    112     34.0     -0.3   -3  0.00000E+00  0.00000E+00     -26.39  0.085     20.00
   45    113     34.0     -0.1   -3  0.00000E+00  0.00000E+00     -26.52  0.085     20.00
   46    114     39.8      0.0   -4  0.00000E+00  0.00000E+00     -26.63  0.084     20.00
   47    115     43.6      0.0   -4  0.00000E+00  0.00000E+00     -26.66  0.084     20.00
   48    116     47.3      0.0   -4  0.00000E+00  0.00000E+00     -26.69  0.084     20.00
   49    117     51.1      0.0   -4  0.00000E+00  0.00000E+00     -26.76  0.084     20.00
   50    118     54.9      0.0   -4  0.00000E+00  0.00000E+00     -26.84  0.084     20.00
   51    119     58.7      0.0   -4  0.00000E+00  0.00000E+00     -26.94  0.084     20.00
   52    120     62.4      0.0   -4  0.00000E+00  0.00000E+00     -27.00  0.084     20.00
   53    121     66.2      0.0   -4  0.00000E+00  0.00000E+00     -27.07  0.084     20.00
   54    122      3.8      0.0   -4  0.00000E+00  0.00000E+00     -27.08  0.084     20.00
   55    123      7.6      0.0   -4  0.00000E+00  0.00000E+00     -27.01  0.084     20.00
   56    124     11.3      0.0   -4  0.00000E+00  0.00000E+00     -26.95  0.084     20.00
   57    125     15.1      0.0   -4  0.00000E+00  0.00000E+00     -26.83  0.084     20.00
   58    126     18.9      0.0   -4  0.00000E+00  0.00000E+00     -26.77  0.084     20.00
   59    127     22.7      0.0   -4  0.00000E+00  0.00000E+00     -26.69  0.084     20.00
   60    128     26.4      0.0   -4  0.00000E+00  0.00000E+00     -26.64  0.084     20.00
   61    129     30.2      0.0   -4  0.00000E+00  0.00000E+00     -26.63  0.084     20.00
