

     TLevel     Time          dt      Iter    ItCum
    133  0.18007433E+03  0.17922E-01    2       472
    134  0.18009763E+03  0.23298E-01    2       474
    135  0.18012791E+03  0.30287E-01    2       476
    136  0.18016729E+03  0.39374E-01    2       478
    137  0.18021847E+03  0.51186E-01    2       480
    138  0.18028501E+03  0.66542E-01    3       483
    139  0.18037152E+03  0.86504E-01    3       486
    140  0.18048397E+03  0.11246E+00    3       489
    141  0.18063017E+03  0.14619E+00    3       492
    142  0.18082021E+03  0.19005E+00    3       495
    143  0.18106728E+03  0.24706E+00    3       498
    144  0.18138846E+03  0.32118E+00    3       501
    145  0.18180600E+03  0.41754E+00    3       504
    146  0.18234880E+03  0.54280E+00    3       507
    147  0.18305444E+03  0.70564E+00    3       510
    148  0.18397177E+03  0.91733E+00    3       513
    149  0.18516431E+03  0.11925E+01    3       516
    150  0.18671460E+03  0.15503E+01    3       519
    151  0.18872998E+03  0.20154E+01    3       522
    152  0.19134997E+03  0.26200E+01    3       525
    153  0.19475596E+03  0.34060E+01    3       528
    154  0.19918375E+03  0.44278E+01    3       531
    155  0.20493987E+03  0.57561E+01    4       535
    156  0.21069599E+03  0.57561E+01    3       538
    157  0.21817895E+03  0.74830E+01    4       542
    158  0.22566191E+03  0.74830E+01    3       545
    159  0.23538976E+03  0.97278E+01    4       549
    160  0.24511761E+03  0.97278E+01    4       553
    161  0.25484546E+03  0.97278E+01    3       556
    162  0.26798977E+03  0.13144E+02    4       560
    163  0.28113409E+03  0.13144E+02    4       564
    164  0.29427841E+03  0.13144E+02    3       567
    165  0.31070881E+03  0.16430E+02    5       572
    166  0.32713920E+03  0.16430E+02    6       578
    167  0.34356960E+03  0.16430E+02    7       585
    168  0.36000000E+03  0.16430E+02    8       593
    169  0.36805563E+03  0.80556E+01    6       599
    170  0.37611126E+03  0.80556E+01    6       605
    171  0.38416689E+03  0.80556E+01    6       611
    172  0.39222252E+03  0.80556E+01    6       617
    173  0.40027815E+03  0.80556E+01    5       622
    174  0.40833378E+03  0.80556E+01    6       628
    175  0.41638941E+03  0.80556E+01    5       633
    176  0.42444504E+03  0.80556E+01    6       639
    177  0.43250067E+03  0.80556E+01    5       644
    178  0.44055630E+03  0.80556E+01    6       650
    179  0.44861193E+03  0.80556E+01    5       655
    180  0.45666756E+03  0.80556E+01    6       661
    181  0.46472319E+03  0.80556E+01    5       666
    182  0.47277882E+03  0.80556E+01    5       671
    183  0.48083445E+03  0.80556E+01    5       676
    184  0.48889008E+03  0.80556E+01    5       681
    185  0.49694571E+03  0.80556E+01    5       686
    186  0.50500134E+03  0.80556E+01    5       691
    187  0.51305697E+03  0.80556E+01    5       696
    188  0.52111260E+03  0.80556E+01    5       701
    189  0.52916823E+03  0.80556E+01    5       706
    190  0.53722385E+03  0.80556E+01    5       711
    191  0.54527948E+03  0.80556E+01    5       716
    192  0.55333511E+03  0.80556E+01    5       721
    193  0.56139074E+03  0.80556E+01    4       725
    194  0.56944637E+03  0.80556E+01    4       729
    195  0.57750200E+03  0.80556E+01    2       731
    196  0.58797432E+03  0.10472E+02    3       734
    197  0.60117689E+03  0.13203E+02    3       737
    198  0.61815162E+03  0.16975E+02    5       742
    199  0.63512635E+03  0.16975E+02    5       747
    200  0.65210108E+03  0.16975E+02    5       752
    201  0.66907581E+03  0.16975E+02    4       756
    202  0.68605054E+03  0.16975E+02    3       759
    203  0.72000000E+03  0.33949E+02    6       765
    204  0.74300768E+03  0.23008E+02    5       770
    205  0.76601536E+03  0.23008E+02    6       776
    206  0.78902304E+03  0.23008E+02    5       781
    207  0.81203072E+03  0.23008E+02    6       787
    208  0.83503841E+03  0.23008E+02    5       792
    209  0.85804609E+03  0.23008E+02    6       798
    210  0.88105377E+03  0.23008E+02    5       803
    211  0.90406145E+03  0.23008E+02    6       809
    212  0.92706913E+03  0.23008E+02    5       814
    213  0.95007681E+03  0.23008E+02    6       820
    214  0.97308449E+03  0.23008E+02    6       826
    215  0.99609217E+03  0.23008E+02    6       832
    216  0.10190999E+04  0.23008E+02    6       838
    217  0.10421075E+04  0.23008E+02    7       845
    218  0.10582129E+04  0.16105E+02    6       851
    219  0.10743183E+04  0.16105E+02    6       857
    220  0.10904237E+04  0.16105E+02    5       862
    221  0.11065290E+04  0.16105E+02    5       867
    222  0.11226344E+04  0.16105E+02    5       872
    223  0.11387398E+04  0.16105E+02    5       877
    224  0.11548452E+04  0.16105E+02    4       881
    225  0.11709506E+04  0.16105E+02    4       885
    226  0.11870559E+04  0.16105E+02    2       887
    227  0.12079929E+04  0.20937E+02    2       889
    228  0.12337715E+04  0.25779E+02    2       891
    229  0.12681429E+04  0.34371E+02    3       894
    230  0.13111072E+04  0.42964E+02    3       897
    231  0.13755536E+04  0.64446E+02    5       902
    232  0.14400000E+04  0.64446E+02    3       905
end
