 Welcome to HYDRUS                                                       
 
 Program HYDRUS3
 Date:   6. 2.2018    Time:  14:37:12
 Time dependent boundary conditions
 
 Units: L = cm   , T = min  , M = mmol 
 

 Max. number of iterations             10
 Absolute water content tolerance [-] 0.00100
 Absolute pressure head tolerance [L] 1.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.045  0.430   0.145E+00   0.268E+01   0.495E+00  0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
  0.4102  -0.278E+01  0.4444E+00  0.1780E-01  0.3036E+00 -0.5177E+00    0.9486
  0.3987  -0.335E+01  0.5253E+00  0.2240E-01  0.2505E+00 -0.6012E+00    0.9188
  0.3818  -0.404E+01  0.6061E+00  0.2695E-01  0.1922E+00 -0.7164E+00    0.8747
  0.3579  -0.486E+01  0.6869E+00  0.3044E-01  0.1341E+00 -0.8726E+00    0.8128
  0.3268  -0.586E+01  0.7677E+00  0.3170E-01  0.8341E-01 -0.1079E+01    0.7319
  0.2895  -0.705E+01  0.8485E+00  0.3000E-01  0.4564E-01 -0.1341E+01    0.6352
  0.2492  -0.850E+01  0.9293E+00  0.2569E-01  0.2195E-01 -0.1659E+01    0.5304
  0.2095  -0.102E+02  0.1010E+01  0.2005E-01  0.9393E-02 -0.2027E+01    0.4274
  0.1737  -0.123E+02  0.1091E+01  0.1448E-01  0.3655E-02 -0.2437E+01    0.3343
  0.1434  -0.148E+02  0.1172E+01  0.9871E-02  0.1324E-02 -0.2878E+01    0.2556
  0.1191  -0.179E+02  0.1253E+01  0.6456E-02  0.4567E-03 -0.3340E+01    0.1924
  0.1002  -0.215E+02  0.1333E+01  0.4109E-02  0.1524E-03 -0.3817E+01    0.1433
  0.0858  -0.260E+02  0.1414E+01  0.2569E-02  0.4977E-04 -0.4303E+01    0.1060
  0.0751  -0.313E+02  0.1495E+01  0.1589E-02  0.1604E-04 -0.4795E+01    0.0781
