Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,37804.0,5670.0,0.0,-1419.2,,
5.0,37804.0,6008.2,67.482,-465.18,0.76695,0.087
15.0,37804.0,6683.1,67.487,-380.31,0.72489,0.043
30.0,37804.0,7695.6,67.5,-264.77,0.74317,0.028
60.0,37804.0,9720.5,67.487,-93.056,0.65117,0.014
120.0,37804.0,9708.4,-0.0085452,-26.315,0.17356,0.004
180.0,37804.0,9708.2,-0.0012804,-22.465,0.19225,0.004
240.0,37804.0,9708.2,-0.00026616,-22.267,0.24719,0.005
500.0,37804.0,9708.2,-0.00054608,-23.748,0.45849,0.01
720.0,37804.0,9708.0,-0.00080298,-24.542,0.48199,0.011
1440.0,37804.0,9707.6,-0.00052351,-25.55,0.51083,0.011
2160.0,37804.0,9707.6,0.0005798,-25.778,0.91692,0.02
2880.0,37804.0,9707.5,-0.00019268,-25.838,1.2017,0.026
