

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    2         2
      2  0.20000001E-02  0.10000E-02    2         4
      3  0.33000001E-02  0.13000E-02    2         6
      4  0.49900000E-02  0.16900E-02    3         9
      5  0.71870000E-02  0.21970E-02    3        12
      6  0.10043100E-01  0.28561E-02    3        15
      7  0.13756029E-01  0.37129E-02    3        18
      8  0.18582838E-01  0.48268E-02    3        21
      9  0.24857688E-01  0.62749E-02    3        24
     10  0.33014994E-01  0.81573E-02    3        27
     11  0.43619491E-01  0.10604E-01    3        30
     12  0.57405336E-01  0.13786E-01    4        34
     13  0.71191182E-01  0.13786E-01    4        38
     14  0.84977027E-01  0.13786E-01    4        42
     15  0.98762873E-01  0.13786E-01    4        46
     16  0.11254872E+00  0.13786E-01    4        50
     17  0.12633456E+00  0.13786E-01    4        54
     18  0.14012041E+00  0.13786E-01    4        58
     19  0.15390626E+00  0.13786E-01    4        62
     20  0.16769210E+00  0.13786E-01    3        65
     21  0.18561370E+00  0.17922E-01    4        69
     22  0.20353530E+00  0.17922E-01    4        73
     23  0.22145690E+00  0.17922E-01    4        77
     24  0.23937850E+00  0.17922E-01    4        81
     25  0.25730009E+00  0.17922E-01    3        84
     26  0.28059817E+00  0.23298E-01    4        88
     27  0.30389625E+00  0.23298E-01    4        92
     28  0.32719433E+00  0.23298E-01    4        96
     29  0.35049240E+00  0.23298E-01    4       100
     30  0.37379048E+00  0.23298E-01    4       104
     31  0.39708856E+00  0.23298E-01    4       108
     32  0.42038664E+00  0.23298E-01    4       112
     33  0.44368471E+00  0.23298E-01    3       115
     34  0.47397221E+00  0.30287E-01    4       119
     35  0.50425971E+00  0.30287E-01    4       123
     36  0.53454721E+00  0.30287E-01    4       127
     37  0.56483471E+00  0.30287E-01    4       131
     38  0.59512221E+00  0.30287E-01    4       135
     39  0.62540970E+00  0.30287E-01    4       139
     40  0.65569720E+00  0.30287E-01    4       143
     41  0.68598470E+00  0.30287E-01    4       147
     42  0.71627220E+00  0.30287E-01    4       151
     43  0.74655970E+00  0.30287E-01    4       155
     44  0.77684720E+00  0.30287E-01    4       159
     45  0.80713470E+00  0.30287E-01    4       163
     46  0.83742219E+00  0.30287E-01    4       167
     47  0.86770969E+00  0.30287E-01    4       171
     48  0.89799719E+00  0.30287E-01    4       175
     49  0.92828469E+00  0.30287E-01    3       178
     50  0.96765844E+00  0.39374E-01    4       182
     51  0.10070322E+01  0.39374E-01    4       186
     52  0.10464059E+01  0.39374E-01    4       190
     53  0.10857797E+01  0.39374E-01    4       194
     54  0.11251534E+01  0.39374E-01    4       198
     55  0.11645272E+01  0.39374E-01    4       202
     56  0.12039009E+01  0.39374E-01    4       206
     57  0.12432747E+01  0.39374E-01    4       210
     58  0.12826484E+01  0.39374E-01    4       214
     59  0.13220222E+01  0.39374E-01    4       218
     60  0.13613959E+01  0.39374E-01    4       222
     61  0.14007697E+01  0.39374E-01    4       226
     62  0.14401434E+01  0.39374E-01    4       230
     63  0.14795172E+01  0.39374E-01    4       234
     64  0.15188909E+01  0.39374E-01    3       237
     65  0.15700768E+01  0.51186E-01    4       241
     66  0.16212626E+01  0.51186E-01    4       245
     67  0.16724485E+01  0.51186E-01    4       249
     68  0.17236344E+01  0.51186E-01    4       253
     69  0.17748203E+01  0.51186E-01    4       257
     70  0.18260061E+01  0.51186E-01    4       261
     71  0.18771920E+01  0.51186E-01    4       265
     72  0.19283779E+01  0.51186E-01    4       269
     73  0.19795637E+01  0.51186E-01    4       273
     74  0.20307496E+01  0.51186E-01    3       276
     75  0.20972912E+01  0.66542E-01    4       280
     76  0.21638329E+01  0.66542E-01    4       284
     77  0.22303745E+01  0.66542E-01    4       288
     78  0.22969161E+01  0.66542E-01    4       292
     79  0.23634577E+01  0.66542E-01    4       296
     80  0.24299994E+01  0.66542E-01    4       300
     81  0.24965410E+01  0.66542E-01    4       304
     82  0.25630826E+01  0.66542E-01    3       307
     83  0.26495867E+01  0.86504E-01    4       311
     84  0.27360908E+01  0.86504E-01    4       315
     85  0.28225949E+01  0.86504E-01    4       319
     86  0.29090991E+01  0.86504E-01    4       323
     87  0.29956032E+01  0.86504E-01    4       327
     88  0.30821073E+01  0.86504E-01    4       331
     89  0.31686114E+01  0.86504E-01    4       335
     90  0.32551155E+01  0.86504E-01    4       339
     91  0.33416196E+01  0.86504E-01    3       342
     92  0.34540749E+01  0.11246E+00    4       346
     93  0.35665303E+01  0.11246E+00    4       350
     94  0.36789856E+01  0.11246E+00    4       354
     95  0.37914409E+01  0.11246E+00    4       358
     96  0.39038963E+01  0.11246E+00    4       362
     97  0.40135067E+01  0.10961E+00    4       366
     98  0.41231170E+01  0.10961E+00    4       370
     99  0.42327274E+01  0.10961E+00    4       374
    100  0.43423378E+01  0.10961E+00    4       378
    101  0.44519481E+01  0.10961E+00    4       382
    102  0.45615585E+01  0.10961E+00    4       386
    103  0.46711689E+01  0.10961E+00    4       390
    104  0.47807793E+01  0.10961E+00    4       394
    105  0.48903896E+01  0.10961E+00    4       398
    106  0.50000000E+01  0.10961E+00    4       402
    107  0.51124553E+01  0.11246E+00    4       406
    108  0.52249107E+01  0.11246E+00    4       410
    109  0.53373660E+01  0.11246E+00    4       414
    110  0.54498214E+01  0.11246E+00    4       418
    111  0.55622767E+01  0.11246E+00    4       422
    112  0.56747320E+01  0.11246E+00    4       426
    113  0.57871874E+01  0.11246E+00    4       430
    114  0.58996427E+01  0.11246E+00    4       434
    115  0.60120980E+01  0.11246E+00    4       438
    116  0.61245534E+01  0.11246E+00    3       441
    117  0.62707453E+01  0.14619E+00    4       445
