Time,CumQAP,CumQRP,CumQA,CumQR,CumQ3,hAtm,hRoot,hKode3,A-level,tAtm,Prec,rSoil,rRoot,hCritA,rt,ht,rt,ht,rt,ht,rt,ht
60.0,0.0,0.0,0.0,0.0,-4050.0,-8.6,0.0,-6.4,1,60,0,0,0.000277778,10000,-1,0,0,0,0,0,0,0
2880.0,0.0,0.0,0.0,0.0,-4050.0,-42.9,0.0,-42.5,2,2880,0,0,0.000277778,10000,0,0,0,0,0,0,0,0
