

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    2         2
      2  0.20000001E-02  0.10000E-02    2         4
      3  0.33000001E-02  0.13000E-02    3         7
      4  0.49900000E-02  0.16900E-02    3        10
      5  0.71870000E-02  0.21970E-02    3        13
      6  0.10043100E-01  0.28561E-02    3        16
      7  0.13756029E-01  0.37129E-02    3        19
      8  0.18582838E-01  0.48268E-02    3        22
      9  0.24857688E-01  0.62749E-02    4        26
     10  0.31132539E-01  0.62749E-02    4        30
     11  0.37407389E-01  0.62749E-02    4        34
     12  0.43682240E-01  0.62749E-02    3        37
     13  0.51839545E-01  0.81573E-02    4        41
     14  0.59996851E-01  0.81573E-02    4        45
     15  0.68154156E-01  0.81573E-02    4        49
     16  0.76311462E-01  0.81573E-02    4        53
     17  0.84468767E-01  0.81573E-02    4        57
     18  0.92626072E-01  0.81573E-02    4        61
     19  0.10078338E+00  0.81573E-02    4        65
     20  0.10894068E+00  0.81573E-02    4        69
     21  0.11709799E+00  0.81573E-02    4        73
     22  0.12525529E+00  0.81573E-02    4        77
     23  0.13341260E+00  0.81573E-02    4        81
     24  0.14156990E+00  0.81573E-02    4        85
     25  0.14972721E+00  0.81573E-02    3        88
     26  0.16033171E+00  0.10604E-01    4        92
     27  0.17093620E+00  0.10604E-01    4        96
     28  0.18154070E+00  0.10604E-01    4       100
     29  0.19214520E+00  0.10604E-01    4       104
     30  0.20274970E+00  0.10604E-01    4       108
     31  0.21335419E+00  0.10604E-01    4       112
     32  0.22395869E+00  0.10604E-01    4       116
     33  0.23456319E+00  0.10604E-01    4       120
     34  0.24516768E+00  0.10604E-01    4       124
     35  0.25577218E+00  0.10604E-01    4       128
     36  0.26637668E+00  0.10604E-01    4       132
     37  0.27698117E+00  0.10604E-01    3       135
     38  0.29076702E+00  0.13786E-01    4       139
     39  0.30455287E+00  0.13786E-01    4       143
     40  0.31833871E+00  0.13786E-01    4       147
     41  0.33212456E+00  0.13786E-01    4       151
     42  0.34591040E+00  0.13786E-01    4       155
     43  0.35969625E+00  0.13786E-01    4       159
     44  0.37348209E+00  0.13786E-01    4       163
     45  0.38726794E+00  0.13786E-01    4       167
     46  0.40105379E+00  0.13786E-01    4       171
     47  0.41483963E+00  0.13786E-01    4       175
     48  0.42862548E+00  0.13786E-01    4       179
     49  0.44241132E+00  0.13786E-01    4       183
     50  0.45619717E+00  0.13786E-01    4       187
     51  0.46998301E+00  0.13786E-01    4       191
     52  0.48376886E+00  0.13786E-01    4       195
     53  0.49755470E+00  0.13786E-01    4       199
     54  0.51134055E+00  0.13786E-01    4       203
     55  0.52512640E+00  0.13786E-01    4       207
     56  0.53891224E+00  0.13786E-01    4       211
     57  0.55269809E+00  0.13786E-01    3       214
     58  0.57061969E+00  0.17922E-01    4       218
     59  0.58854128E+00  0.17922E-01    4       222
     60  0.60646288E+00  0.17922E-01    4       226
     61  0.62438448E+00  0.17922E-01    4       230
     62  0.64230608E+00  0.17922E-01    4       234
     63  0.66022768E+00  0.17922E-01    4       238
     64  0.67814928E+00  0.17922E-01    4       242
     65  0.69607088E+00  0.17922E-01    4       246
     66  0.71399247E+00  0.17922E-01    4       250
     67  0.73191407E+00  0.17922E-01    4       254
     68  0.74983567E+00  0.17922E-01    4       258
     69  0.76775727E+00  0.17922E-01    4       262
     70  0.78567887E+00  0.17922E-01    4       266
     71  0.80360047E+00  0.17922E-01    4       270
     72  0.82152207E+00  0.17922E-01    4       274
     73  0.83944366E+00  0.17922E-01    4       278
     74  0.85736526E+00  0.17922E-01    4       282
     75  0.87528686E+00  0.17922E-01    4       286
     76  0.89320846E+00  0.17922E-01    4       290
     77  0.91113006E+00  0.17922E-01    3       293
     78  0.93442814E+00  0.23298E-01    4       297
     79  0.95772621E+00  0.23298E-01    4       301
     80  0.98102429E+00  0.23298E-01    4       305
     81  0.10043224E+01  0.23298E-01    4       309
     82  0.10276204E+01  0.23298E-01    4       313
     83  0.10509185E+01  0.23298E-01    4       317
     84  0.10742166E+01  0.23298E-01    4       321
     85  0.10975147E+01  0.23298E-01    4       325
     86  0.11208128E+01  0.23298E-01    4       329
     87  0.11441108E+01  0.23298E-01    4       333
     88  0.11674089E+01  0.23298E-01    3       336
     89  0.11976964E+01  0.30287E-01    4       340
     90  0.12279839E+01  0.30287E-01    4       344
     91  0.12582714E+01  0.30287E-01    4       348
     92  0.12885589E+01  0.30287E-01    4       352
     93  0.13188464E+01  0.30287E-01    4       356
     94  0.13491339E+01  0.30287E-01    4       360
     95  0.13794214E+01  0.30287E-01    4       364
     96  0.14097089E+01  0.30287E-01    4       368
     97  0.14399964E+01  0.30287E-01    3       371
     98  0.14793701E+01  0.39374E-01    4       375
     99  0.15187439E+01  0.39374E-01    4       379
    100  0.15581176E+01  0.39374E-01    4       383
    101  0.15974914E+01  0.39374E-01    4       387
    102  0.16368651E+01  0.39374E-01    4       391
    103  0.16762389E+01  0.39374E-01    4       395
    104  0.17156126E+01  0.39374E-01    3       398
    105  0.17667985E+01  0.51186E-01    4       402
    106  0.18179844E+01  0.51186E-01    4       406
    107  0.18691702E+01  0.51186E-01    4       410
    108  0.19203561E+01  0.51186E-01    4       414
    109  0.19715420E+01  0.51186E-01    4       418
    110  0.20227278E+01  0.51186E-01    4       422
    111  0.20739137E+01  0.51186E-01    4       426
    112  0.21250996E+01  0.51186E-01    4       430
    113  0.21762855E+01  0.51186E-01    4       434
    114  0.22274713E+01  0.51186E-01    3       437
    115  0.22940129E+01  0.66542E-01    4       441
    116  0.23605546E+01  0.66542E-01    4       445
    117  0.24270962E+01  0.66542E-01    4       449
