 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -14.4        0.0      -14.3        0.0        0.0        0.0      -57.4        0.0        0.0        0.0
         0.0020      -14.4        0.0      -14.1        0.0        0.0        0.0      -56.3        0.0        0.0        0.0
         0.0033      -14.4        0.0      -13.9        0.0        0.0        0.0      -55.0        0.0        0.0        0.0
         0.0050      -14.4        0.0      -13.6        0.0        0.0        0.0      -53.6        0.0        0.0        0.0
         0.0072      -14.4        0.0      -13.2        0.0        0.0        0.0      -52.1        0.0        0.0        0.0
         0.0100      -14.4        0.0      -12.8        0.0        0.0        0.0      -50.5        0.0        0.0        0.0
         0.0138      -14.5        0.0      -12.4        0.0        0.0        0.0      -48.8        0.0        0.0        0.0
         0.0186      -14.5        0.0      -11.8        0.0        0.0        0.0      -47.1        0.0        0.0        0.0
         0.0249      -14.5        0.0      -11.1        0.0        0.0        0.0      -45.5        0.0        0.0        0.0
         0.0330      -14.5        0.0      -10.4        0.0        0.0        0.0      -43.8        0.0        0.0        0.0
         0.0436      -14.5        0.0       -9.7        0.0        0.0        0.0      -42.3        0.0        0.0        0.0
         0.0574      -14.5        0.0       -8.9        0.0        0.0        0.0      -40.8        0.0        0.0        0.0
         0.0712      -14.5        0.0       -8.3        0.0        0.0        0.0      -39.7        0.0        0.0        0.0
         0.0850      -14.6        0.0       -7.9        0.0        0.0        0.0      -38.8        0.0        0.0        0.0
         0.0988      -14.6        0.0       -7.6        0.0        0.0        0.0      -38.1        0.0        0.0        0.0
         0.1125      -14.6        0.0       -7.3        0.0        0.0        0.0      -37.5        0.0        0.0        0.0
         0.1263      -14.6        0.0       -7.1        0.0        0.0        0.0      -37.0        0.0        0.0        0.0
         0.1401      -14.6        0.0       -6.9        0.0        0.0        0.0      -36.5        0.0        0.0        0.0
         0.1539      -14.6        0.0       -6.8        0.0        0.0        0.0      -36.1        0.0        0.0        0.0
         0.1718      -14.7        0.0       -6.7        0.0        0.0        0.0      -35.7        0.0        0.0        0.0
         0.1897      -14.7        0.0       -6.5        0.0        0.0        0.0      -35.3        0.0        0.0        0.0
         0.2077      -14.7        0.0       -6.4        0.0        0.0        0.0      -35.0        0.0        0.0        0.0
         0.2256      -14.7        0.0       -6.4        0.0        0.0        0.0      -34.7        0.0        0.0        0.0
         0.2435      -14.7        0.0       -6.3        0.0        0.0        0.0      -34.4        0.0        0.0        0.0
         0.2614      -14.8        0.0       -6.2        0.0        0.0        0.0      -34.2        0.0        0.0        0.0
         0.2847      -14.8        0.0       -6.2        0.0        0.0        0.0      -33.9        0.0        0.0        0.0
         0.3080      -14.8        0.0       -6.1        0.0        0.0        0.0      -33.6        0.0        0.0        0.0
         0.3313      -14.8        0.0       -6.1        0.0        0.0        0.0      -33.4        0.0        0.0        0.0
         0.3546      -14.9        0.0       -6.0        0.0        0.0        0.0      -33.2        0.0        0.0        0.0
         0.3779      -14.9        0.0       -6.0        0.0        0.0        0.0      -33.0        0.0        0.0        0.0
         0.4012      -14.9        0.0       -6.0        0.0        0.0        0.0      -32.8        0.0        0.0        0.0
         0.4245      -15.0        0.0       -5.9        0.0        0.0        0.0      -32.6        0.0        0.0        0.0
         0.4478      -15.0        0.0       -5.9        0.0        0.0        0.0      -32.5        0.0        0.0        0.0
         0.4781      -15.0        0.0       -5.9        0.0        0.0        0.0      -32.3        0.0        0.0        0.0
         0.5084      -15.1        0.0       -5.8        0.0        0.0        0.0      -32.1        0.0        0.0        0.0
         0.5387      -15.1        0.0       -5.8        0.0        0.0        0.0      -32.0        0.0        0.0        0.0
         0.5690      -15.2        0.0       -5.8        0.0        0.0        0.0      -31.8        0.0        0.0        0.0
         0.5993      -15.2        0.0       -5.7        0.0        0.0        0.0      -31.7        0.0        0.0        0.0
         0.6295      -15.2        0.0       -5.7        0.0        0.0        0.0      -31.5        0.0        0.0        0.0
         0.6598      -15.3        0.0       -5.7        0.0        0.0        0.0      -31.4        0.0        0.0        0.0
         0.6901      -15.3        0.0       -5.7        0.0        0.0        0.0      -31.3        0.0        0.0        0.0
         0.7204      -15.4        0.0       -5.6        0.0        0.0        0.0      -31.2        0.0        0.0        0.0
         0.7507      -15.4        0.0       -5.6        0.0        0.0        0.0      -31.1        0.0        0.0        0.0
         0.7810      -15.4        0.0       -5.6        0.0        0.0        0.0      -31.0        0.0        0.0        0.0
         0.8113      -15.5        0.0       -5.6        0.0        0.0        0.0      -30.9        0.0        0.0        0.0
         0.8416      -15.5        0.0       -5.5        0.0        0.0        0.0      -30.9        0.0        0.0        0.0
         0.8718      -15.6        0.0       -5.5        0.0        0.0        0.0      -30.8        0.0        0.0        0.0
         0.9112      -15.6        0.0       -5.5        0.0        0.0        0.0      -30.7        0.0        0.0        0.0
         0.9506      -15.7        0.0       -5.5        0.0        0.0        0.0      -30.6        0.0        0.0        0.0
         0.9900      -15.7        0.0       -5.4        0.0        0.0        0.0      -30.5        0.0        0.0        0.0
         1.0293      -15.8        0.0       -5.4        0.0        0.0        0.0      -30.4        0.0        0.0        0.0
         1.0687      -15.8        0.0       -5.4        0.0        0.0        0.0      -30.4        0.0        0.0        0.0
         1.1081      -15.9        0.0       -5.4        0.0        0.0        0.0      -30.3        0.0        0.0        0.0
         1.1475      -15.9        0.0       -5.4        0.0        0.0        0.0      -30.2        0.0        0.0        0.0
         1.1868      -15.9        0.0       -5.3        0.0        0.0        0.0      -30.2        0.0        0.0        0.0
         1.2262      -16.0        0.0       -5.3        0.0        0.0        0.0      -30.1        0.0        0.0        0.0
         1.2656      -16.0        0.0       -5.3        0.0        0.0        0.0      -30.1        0.0        0.0        0.0
         1.3050      -16.1        0.0       -5.3        0.0        0.0        0.0      -30.0        0.0        0.0        0.0
         1.3443      -16.1        0.0       -5.2        0.0        0.0        0.0      -30.0        0.0        0.0        0.0
         1.3837      -16.2        0.0       -5.2        0.0        0.0        0.0      -29.9        0.0        0.0        0.0
         1.4231      -16.2        0.0       -5.2        0.0        0.0        0.0      -29.9        0.0        0.0        0.0
         1.4625      -16.2        0.0       -5.2        0.0        0.0        0.0      -29.8        0.0        0.0        0.0
         1.5018      -16.3        0.0       -5.1        0.0        0.0        0.0      -29.8        0.0        0.0        0.0
         1.5530      -16.3        0.0       -5.1        0.0        0.0        0.0      -29.8        0.0        0.0        0.0
         1.6042      -16.4        0.0       -5.1        0.0        0.0        0.0      -29.7        0.0        0.0        0.0
         1.6554      -16.4        0.0       -5.0        0.0        0.0        0.0      -29.7        0.0        0.0        0.0
         1.7066      -16.5        0.0       -5.0        0.0        0.0        0.0      -29.7        0.0        0.0        0.0
         1.7578      -16.5        0.0       -5.0        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         1.8089      -16.6        0.0       -5.0        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         1.8601      -16.6        0.0       -4.9        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         1.9113      -16.7        0.0       -4.9        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         1.9625      -16.7        0.0       -4.9        0.0        0.0        0.0      -29.5        0.0        0.0        0.0
